Document,TopicID,Topic_model,Name_model,Representation
TRANSFER OF 36 759 000.00 MILLION POUNDS TO YOURACCOUNT.My name is Mr.EJIS DON and I work in theInternational Operation Department in a Bank here inLondon.I feel quite safe dealing with you in thisimportant business.Though this medium (Internet) hasbeen greatly abused I choose to reach you through itbecause it still remains the fastest medium ofcommunication. However this correspondence isunofficial and private and it should be treated assuch. At first I will like to assure you that thistransaction is 100% risk and trouble free to bothparties. WE WANT TO TRANSFER OUT MONEY FROM OUR BANKHERE IN LONDON. THE FUND FOR TRANSFER IS OF CLEANORIGIN. THE OWNER OF THIS ACCOUNT IS A FOREIGNER aprogram leader.Until his death The Late PrimeMinister Mr. Rafik Hariri has a huge investment herein the United Kingdom and all over the world as amatter of fact he has the sum of(THIRTY SIX MILLIONSEVEN HUNDRED AND FIFTY NINE THOUSAND POUNDSSTERLINGS) in his account here in London which hedeposited as a family valuables.The family do not knowabout this deposit.I was on a routine inspection thatI discovered a dormant domiciliary account with a BAL.Of (THIRTY SIX MILLION SEVEN HUNDRED AND FIFTY NINETHOUSAND POUNDS STERLINGS) on further discreetinvestigation I also discovered that the accountholder has passed away (dead) leaving no beneficiaryto the account. The bank will approve this money toany foreigner because the former operator of the a/cis a foreigner. I am certainly sure that nobody willcome again for the claim of this money. A foreignercan only claim this money with legal claims to theaccount Holder Therefore I need your cooperation in this transaction.I will provide all necessary information needed inorder to claim this money.Hoping in God that you willnever let me down now and in future.o.k! Rafik BahaaEdine Hariri (November 1 1944 - February 14 2005) married to Nazek Audi Hariri was a Lebanese self-madebillionaire and business tycoon and was five timesPrime Minister of Lebanon (1992-1998 and 2000-2004)before his last resignation from office on October 20 2004. The late Rafik Hariri died on February 14 2005when explosives equivalent to around 300 kg of C4 weredetonated as his motorcade drove past the Saint GeorgeHotel i n the Lebanese capital for more informationplease log on to ()I WANT TO TRANSFER THIS MONEY INTO A SAFE FOREIGNACCOUNT ABROAD BUT I DON'T KNOW ANY FOREIGNER WHOM ICAN TRUST I KNOW THAT THIS MESSAGE WILL COME TO YOUAS A SURPRISE AS WE DON'T KNOW OURSELVES BEFORE BUTBE SURE THAT IT IS REAL AND A GENUINE BUSINESS. ICONTACT YOU BELIEVING THAT YOU WILL NOT LET ME DOWNONCE THE FUND GOES INTO YOUR ACCOUNT. Let me hear from you urgently byEmailBest Regards Mr EJIS DON,9,9,9_foreign account_beneficiary_account mr_000 00,"['foreign account', 'beneficiary', 'account mr', '000 00', 'regards claiming', 'account foreigner', 'accounts holding', 'contact', 'owner account', 'risk troubles']"
FROM THE DESK OF:MR.WANG QINHANG SENG BANK LTD.DES VOEUX RD.BRANCHCENTRAL HONG KONGHONG KONG.I am Mr.Wang Qin credit officer of Hang Seng BankLtd. I have an urgent and very confidential businessproposition for you.On June 6 1998 a British Oil consultant/contractorwith the Chinese Solid Minerals Corporation Mr. SmithLawrence made a numbered time (Fixed) Deposit fortwelve calendar months valued at $48 000 000.00(Forty-eight Million American Dollars only) in mybranch.Upon maturity I sent a routine notification to hisforwarding address but got no reply. After a month wesent a reminder and finally we discovered from hiscontract employers the Hong Kong Solid MineralsCorporation that Mr. Smith Lawrence died from anauto-mobile accident.On further investigation I found out that he diedwithout making a WILL and all attempts to trace hisnext of kin was fruitless.I therefore made further investigation and discoveredthat Mr.Smith Lawrence did not declare any kin orrelations in all his official documents including hisBank Deposit paperwork in my Bank.This sum of$48 000 000.00 is still sitting in my Bank and theinterest is being rolled over with the principal sumat the end ofeach year. No one will ever come forwardto claim it.According to Laws of Hong Kong at the expiration of(five) years the money will revert to the ownership ofthe Hong Kong Government if nobody applies to claimthe fund.Consequently my proposal is that I will like you as aforeigner to stand in as the next of kin to Mr. SmithLawrence so that the fruits of this old man's laborwill not get into the hands of some corrupt governmentofficials.This is simple I will like you to provide immediatelyyour full names and address so that the attorney willprepare the necessary documents and affidavits thatwill put you in place as the next of kin.We shallemploy the services of an attorney for drafting andnotarization of the WILL and to obtain the necessarydocuments and letter of probate/administration in yourfavor for the transfer.A bank account in any part of the world that you willprovide the will then facilitate the transfer of thismoney to you as the beneficiaryext of kin.The money will be paid into your account for us toshare in the ratio of 70%for me and 25% for you and 5%for Expenses Incurred in the course of the transaction.There is no risk at all as all the paperwork for thistransaction will be done by the attorney and with myposition as the credit officer guarantees thesuccessful execution of this transaction. If you areinterested please reply immediately to my email box.Upon your response I shall then provide you with moredetails and relevant documents that will help youunderstand the transaction.Please send me your confidential telephone and faxnumbers for easy communication.You should observe utmost confidentiality and restassured that this transaction would be most profitablefor both of us because I shall require your assistanceto invest my share in your country.For confidentiality Reasons I advice that to respondstrictly to this email address:w_qin@fastermail.com.Aaiting your response.Regards,8,8,8_address_address got_did declare_deposit paperwork,"['address', 'address got', 'did declare', 'deposit paperwork', 'deposit', 'urgent', '000 00', '00', 'utmost confidentiality', 'paperwork']"
From;Mr.Michael Kamah and Family Johannesburg South Africa.My Dear Good day.This very confidential request should come as a surprise to you.But it is because of the nature of what is happening to me and my family urged me to contact you and I quite understand that this is not the best way to contact you because of the nature of my request and the attention it requires.I got your contact information from your country's information directory during my desperate search for someone who can assist me secretly and confidentially in relocating and managing some family fortunes.My name is Mr.Michael Kamah the second son of Mr.Smith Kamah of Beitbridge Zimbabwe.At the height of the present political crises in our country in which the white farmers in our country are being slained and ripped off their belongings by the supporters of our president Mr.Robert G.Mugabe in their efforts to reclaim all the white owned farms in our country my father and my elder brother were brutally slained to a painful death on the 13th of february 2002 in their struggle to protect some white farmers who ran to take refuge in our house.My father during his life on earth was a prominent business man who trades on diamond and gold from some foreign countries .He publicly opposes the crude policies and crime against humanity on the white farmers by Mr.Robert Mugabe and his followers which they enforced media law restrictions to protect their wicked acts.That not being enough the president and his followers after winning the last undemocratic elections decided to block an!d confiscate all accounts and assets of our black indigenes[that included my fathers assets and accounts] who oppose his policies and render support to these white farmers along with the assets of these white farmers themselves that are being presently confiscated.I therefore decided to move my mother and younger sister to the Republic of South Africa where we presently live without anything and without any source of livelyhood.During my fathers life on earth he had deposited the sum of Seven Million and Four Hundred Thousand United States Dollars[$7.400.000.00] in a trunk box with a Finance and Security Company in the Republic of Togo for a cash and carry Diamond and Gold business with some foreign business customers awaiting instructions to be moved to its destination which he never completed before he met his untimely death on that faithful day.In view of this and as the only surviving son of my father and with the present clamp down killing and confiscation of his assets as one of those who render support to the white farmers in our country I therefore humbly wish to inform you of my intentions to use your name and adress in making sure that this fund is lifted out of Africa finally to the Europe office of the finance company and also seek for your honest and trustworthy assistance to help me clear and accommodate this money over there before it is dictated out and blocked by the present Mugab!e's regime.My mother is presently with the valid document covering this deposit.Now this is what I actually want you to do for me;1. I want you to be presented to the Finance and Security company as the person I contacted to assist my family for this purpose with whose name and adress myself and my mother will forward to them their office in the Republic of Togo as the person that will clear this money when they lift it out to their europe office.2. To finally assist me in accommodating and managing this money in any lucrative business in your country for at least three years. Please I hope you will grant and view this very request with favour and much understanding of our situation now and will be a very honest and reliable person to deal with.And also bearing in mind the confidential nature of this my request I emphasize please that you keep every bit of it to yourself so as to protect my familys future and yourself rendering this help.Thanking you in anticipation of your urgent response as soon as you read this very request.Best Regards Mr.Michael Kamah and family.,5,5,5_south african_johannesburg_south africa_account,"['south african', 'johannesburg', 'south africa', 'account', 'africa', 'deposit', 'contact', 'invest', 'danger zimbabwe', 'zimbabwe']"
Hello I am very sorry to embarrass you with this email as I did not mean to intrud=ein your privacy if not for the peculiar situation I have found myself. As yo=uread this don't feel sorry for me because it is the destiny of everyman todie someday. I am Jaron Abbas a business merchant based in Scotland. I havebeen diagnosed with esophageal cancer.It has defiled all forms of medical treatment and right now I have only abo=uta few months to live according to medical experts. I regret that I have notparticularly lived my life so well as I never really cared for anyone (noteven myself) but my trade. Though I am very well to do I was never openhanded; I was always hostile to people and regarded them like they never hadhopes of becoming as successful as myself. Now I know that there is a lot mo=reto life than just prosperity.I believe that when I am given a second chance to come to this world I woul=dlive my life a different way from how I have lived it. Now that death isimminent I have willed and given most of my belongings to immediate andextended family members as well as a few close friends. I want God to bemerciful to me and accept my soul. Hence I have decided to support charitywork; this is what I want to be remembered for. So far I have been able toreach out to a few charity organizations in the Singapore Algeria andMalaysia. Now that my health has deteriorated so badly I cannot do =20this myselfanymore.I once asked members of my family to aid me in giving of alms to thoseorganizations catering for the less privileged in Bulgaria and Pakistan; the=yrefused and kept the resources to themselves. Hence I do not trust themanymore as they seem not to be contempt with what I have left for them.The last of my belonging which no one knows of is the huge deposit of TwoMillion Five Hundred Thousand US dollars that I have in a safe =20keeping companyabroad which I will want you to secure and bestow to charity organizations.You can reach me on my email address jaron_abbass@yahoo.deJaron Abbas,11,11,11_willed_money charity_charity_charity organization,"['willed', 'money charity', 'charity', 'charity organization', 'want god', 'charity organizations', 'help collect', 'believe god', 'left money', 'money world']"
TELEPHONE NUMBER {44-879292806} VERY URGENT CONTACT .PS;You should have this as a notice that after thesuccess of this transaction you will be having25%(i.e; 3 750 000.00 pounds sterling) as your shareand the rest of the money awaits my presence in yourcountry.THANKSSINCERELYCOMRADECOLE....Direccion.com Thismail was sent by Direccion.com 2.0,9,9,9_foreign account_beneficiary_account mr_000 00,"['foreign account', 'beneficiary', 'account mr', '000 00', 'regards claiming', 'account foreigner', 'accounts holding', 'contact', 'owner account', 'risk troubles']"
Dear sir=2Fmadam=2CAssalamalekumBefore I introduce myself=2C I wish to inform you thatthis letter is not a hoax mail and I urge you to treatit serious=2E I am Dr=2E Muhammad Khalil Hasan=2C a bankerwith the Mashreq Bank Plc Dubai=2C UAE=2E I am theAccounts officer late Mr=2E Robert Chapman the AfricanArea Director of SIL International=2C who unfortunatelydied in the crash of Kenya Airways Flight 431 inAbidjan=2C Ivory Coast=2C January 30 2000=2E You will readmore stories about the crash on visiting this website=2Cnews=2Eairwise=2Ecom=2Fairlines=2Farchive=2F2000=2Fkenya2000=2Ehtmland also in this website=2C where Chapman's companytalked about his death in the Kenya crash=2E You shallas well find the pictures of Chapman and his wifethere=2E Mr=2E Chapman was from Hamilton=2C Ontario Canada=2ESince the death of Chapman=2C I as his accounts officerin the bank=2C have made several enquiries to locate hisonly surviving relation=2C without any success=2E I cameacross your name and contact=2C on the course of mypersonal searching for Chapman's relations=2C so Idecided to contact you for this project=2EI am contacting you to assist in repatriating andsecuring the wealth left behind in a fixed depositaccount by Robert=2C before they get confiscated ordeclared unserviceable by my bank=2E The board of mybank=2C has issued a notice that after 2 months from nowand no next of kin shown up for the claim=2C the fundswill be confiscated and declared unserviceable=2E SinceI and my team have been unsuccessful in locatingRobert's relatives for sometime now=2C I seek yourconsent to present you as the Next of Kin of thedeceased since you are a foreigner=2C so that theproceed of this deposit valued at $USD7=2E5 MillionDollars can be released to you=2EThe bank will release the funds to any foreigner whohas all related information=2Fdocuments to the bankaccount=2E I am in charge of this matter in my bank=2Cbecause I am his accounts officer=2E Your applicationwill be directed to my department for verification andapproval=2E Everything is under my control=2E I shall provide you all the information and copy ofthe certificate of deposit issued to Robert when hedeposited the funds=2E I shall also involve a goodattorney who shall represent you in all theappropriate offices for the claim=2E Please=2C find in theattachment my work ID Card=2E This is just to proof toyou that my proposal is genuine=2E I also have allnecessary information we need for the claim and oncethe money is transferred to you=2C I shall destroy allthe documents used for the claim and leave no traces=2EAfter everything=2C you shall have 40% of the totalsum=2Cwhile 60% for me=2EAll requires is your honest cooperation to enable ussee this business successful=2E I guarantee that thiswill be executed under a legitimate arrangement thatwill protect you from any breach of the law=2E Robertwas a very good man and it is not wise to allow hishard earned wealth to be stolen by the greedydirectors of my bank=2EFurther details awaits your response by email=2E PLEASE=2CTREAT THIS PROPOSAL AS TOP SECRET=2E Please=2C confirm thereceipt of my Id Card in the attachment=2C as it wasdifficult to attach=2EBest RegardsMuhammad Khalil Hasan=2EMashreq Bank Dubai=2E,8,8,8_address_address got_did declare_deposit paperwork,"['address', 'address got', 'did declare', 'deposit paperwork', 'deposit', 'urgent', '000 00', '00', 'utmost confidentiality', 'paperwork']"
Dear Friend I am Mrs. Maryam. Abacha the widow of Sani Abacha theLate Nigerian Head of State.I am presently in distress and under house arrestwhile my son Mohammed is undergoing trial in Lagos andAbuja though he has just been recently granted bail underthe condition that my family refunds to the FederalGovernment some amount of money. The governmenthas frozen all the family account and auctioned all ourproperties.Refer to this website about my husband's loot and you willunderstand what I meanTo save the family from total bankruptcy I havemanaged to ship through an undercover courier company the sum of US$32 000 000.00. kept by my late husband. Themoney was disguised to beat the Nigerian S! ecurity and it is currently deposited in a security company which I will disclose the name and contacts to you if I get a positive response from you. I want you to receive the money and pay intoyour account for the family safely.I am offering you 25% for assisting me secure thismoney Contact me immediately with my email addressso that I can forward to you all necessary details.Endeavour to send your phone and fax numbers for easyCommunications. This project is not risky.Best regards.Mrs. Maryam. Abacha (Dr.)E-mail:abmaryam@voila.fr Faites un voeu et puis Voila !,12,10,10_account_accounts_seized_contact,"['account', 'accounts', 'seized', 'contact', '000', 'firm', 'nigerian', 'attorney', 'million', 'dollars']"
=0D>From ENGR ALI KASIM=0DNigerian National Petroleum Corporation (NNPC) =0DGarki Abuja-Nigeria.=0D12-3-2007=0D=0D =0DATTN =0D =0DIT IS MY PLEASURE TO WRITE THIS E-MAIL TO YOU BELIEVING THAT YOU WILL =0DFIND IT INTERESTING TO READ AND REPLY AS SOON AS POSSIBLE. =0DMY NAME IS ENGR ALI KASIM I AM A DIRECTOR IN THE NIGERIA NATIONAL =0DPETROLEUM CORPORATION (NNPC).=0D =0DI HAVE THIS DEAL OF AN OVER INVOICED SUM OF US$25 000 000.00 PURPOSELY =0DCARVED OUT FROM AN ALREADY EXECUTED CONTRACT IN MY CORPORATION.=0D =0DIT WILL BE MY UTMOST INTEREST TO HAVE YOU AS ONE OF THE PARTNERS TO =0DPROCESS THE DOCUMENTS AND HAVE THE FUND RELEASED TO YOU AS THE FOREIGN =0DCONTRACTOR THAT OWN THE FUND.=0D =0DTHE TRANSACTION WILL BE GIVEN EQUAL LEGAL BACKING THAT IS GIVEN TO AN =0DEXECUTED CONTRACT. THERE IS ABSOLUTELY NO RISK INVOLVED. IT IS 100% RISK 0DFREE. EVERY ARRANGEMENTS TOWARDS IT SUCCESSFULL PROCESSING HAVE BEEN =0DPERFECTED.=0D =0DMY POSITION AS A CIVIL SERVANT HERE IN NIGERIA DOES NOT PERMIT ME TO =0DRUN A FOREIGN BANK ACCOUNT THAT IS ONE OF THE REASONS I NEED YOUR =0DINVOLVEMENT AND ALSO ASSIT IN FINANCING THE PROCESSING OF THIS TRANSACTIO=N =0DWHICH IS VERY IMPORTANT.THE RATIO OF ITS SHARING IS 55% FOR ME 45% FOR =0DYOU.=0D =0DTO COMMENCE THE PROCESSING I WOULD LIKE YOU TO SEND TO ME (A) YOUR =0DFULL NAMES AND COMPANY NAME TO BE INCORPORATED AND ADDRESS (B) YOUR BANK= =0DACCOUNT INFORMATION WHERE THE FUND WILL BE TRANSFERED TO OR WITHIN THE =0DSHORTEST PERIOD YOU CAN OPEN A NEW ACCOUNT FOR THIS TRANSACTION (C) =0DYOUR TELEPHONE/FAX NUMBERS.=0D =0DI AWAIT YOUR URGENT REPLY.=0D=0DREGARDS=0DENGR ALI KASIM=0D=0D=0D=0D,12,1,1_foreign account_payment_transferred_contract awarded,"['foreign account', 'payment', 'transferred', 'contract awarded', 'nigerian', 'contract award', 'beneficiary', 'paid', 'national petroleum', 'invoiced']"
BARRISTER DAVID.A NELSONEquity ChambersLagos Nigeria.Attention:Greetings to you.I am Mr. David.A Nelson Principal Partner Benson & Associates (EQUITYCHAMBERS).I need your urgent and very confidential approach to this proposition.On April 12 2000 my client a ForeignOilConsultant/Contractor with the NigerianNational Petroleum Corporation (NNPC) Mr. James Nartaev made a numberedtime (Fixed) Deposit for twelve calendar months valued at US$12 000 000.00(Twelve Million United States Dollars).Upon maturity of his deposit the chambers got a routine notification fromthe Finance House which was sent to his forwarding address. After a month we got a reminder from the Finance House and I had to verify his whereaboutfrom his contract employers the NNPC.Unfortunately I was informed by the NNPC that my client died from an automobileaccident about a month to the first letter froim the Finance House. As hislegal representative I know that my client died without making a WILL andall my attempts to trace his next of kin has been fruitless.Furthermore as his attorney I am aware that he did not declare any nextof kin or relations in all his official documents including his DepositoryForm with the Finance House.According to Nigerian Law at the expirationof 3 (three) years the money will revert to the ownership of the NigerianGovernment if nobody applies to claim the fund.Since I have been unsuccesfull in locating the the relatives I seek yourconsent to present you as the next of kin of my late client so that theproceeds of this account valued at 12 million dollars (minus incurred interest)canbe paid to you. I will expect you to use your human discretion in sharingthe funds when it's been transferred into your custody.I will put together all necessary legal documents that can be used to backup any claim we may make. All I require is your honest cooperation to enableus see this deal through particularly your words of honor not to sit onthe funds when it's in your control. Please! I guarantee that this will be executed under a legitimate arrangementthat will protect you from any breach of the law. Please get in touch withme by my email and send to me your telephone and fax numbers to enable usdiscuss furtherabout this transaction.I wait to hear from you soon. Have a nice day.Thank you.Barrister David Nelson Broadband from an unbeatable �15.99!,4,4,4_proceeds account_account_executed legitimate_lodged,"['proceeds account', 'account', 'executed legitimate', 'lodged', 'account valued', 'contacted', 'issued', 'proceeds', 'issued notice', 'barrister']"
I am Mr Amedi Ali the director in charge of auditing and accountingsection of Bank Of Africa Ouagadougou Burkina faso West Africa withdue respect and regard.I have decided to contact you on a businesstransaction that will be very beneficial to both of us at the end of thetransaction.During our investigation and auditing in this bank my department cameacross a very hugesum of money belonging to a aperson who died onJuly 2003 in a plane crash and the fund has been dormant in his account withthis Bank with out any claim of the fund in our custody either from hisfamily or relation before our discovery to this developement.The said amount was EIGHTHEEN MILLION united states dollars.($18.000.000)Meanwhile all the whole arrangement to put the claim over this fund as thebonafide next of kin to the deceased;get the required approval and transferthis money to a foriegn account has been put in place and directives andneeded information will be relayed to you as soon as you indicate yourinterest and willingness to assist us and also benefit your self to thisgreat business opportunity.Infact i could have done this deal alone butbecause of my position in this country as a civiassist(A Banker) we are notallowed to operate a foriegn account and wouldeventually raise an eye browon my side during the great business opportunity.Infact i could have donethis deal alone but because of my position in this country as a civiassist(ABanker) we are not allowed to operate a foriegn account and wouldeventuallyraise an eye brow on my side during the time of transfer becuase i work itmay be after due verification and assist by the correspondent branch of thebank where the money will be remitted from to your own designation bankaccount.I will not fail to inform you that this transaction is 100% risk free.Onsmooth conclusion of this transaction you will be entitled to 40%of thetotal sum as gratification while 5% will be set aside to take care ofexpenses that may arise during the time of transfer and also telephonebills; while 60% will be for me. Please;you have been adviced to keep topsecret as i am still in service and intend to retire from service after weconclude this deal with you.I will be monitoring the whole situation here in this bank until you confirmthe money in your account and ask me to come down to your country forsubsequent sharing of the fund according to percentages previously indicatedand further investment either in your country or any country you advice usto invest.All other necessary vital information will be sent to you when ihear from you.Yours faithfullyI am Mr djema farid the director in charge of auditing and accountingsection of Bank Of Africa Ouagadougou Burkina faso West Africa withdue respect and regard.I have decided to contact you on a businesstransaction that will be very beneficial to both of us at the end of thetransaction.During our investigation and auditing in this bank my department cameacross a very hugesum of money belonging to a aperson who died onJuly 2000 in a plane crash and the fund has been dormant in his account withthis Bank with out any claim of the fund in our custody either from hisfamily or relation before our discovery to this developement.The said amount was EIGHTHEEN MILLION united states dollars.($18.000.000)Meanwhile all the whole arrangement to put the claim over this fund as thebonafide next of kin to the deceased;get the required approval and transferthis money to a foriegn account has been put in place and directives andneeded information will be relayed to you as soon as you indicate yourinterest and willingness to assist us and also benefit your self to thisgreat business opportunity.Infact i could have done this deal alone butbecause of my position in this country as a civiassist(A Banker) we are notallowed to operate a foriegn account and wouldeventually raise an eye browon my side during the great business opportunity.Infact i could have donethis deal alone but because of my position in this country as a civiassist(ABanker) we are not allowed to operate a foriegn account and wouldeventuallyraise an eye brow on my side during the time of transfer becuase i work itmay be after due verification and assist by the correspondent branch of thebank where the money will be remitted from to your own designation bankaccount.I will not fail to inform you that this transaction is 100% risk free.Onsmooth conclusion of this transaction you will be entitled to 40%of thetotal sum as gratification while 5% will be set aside to take care ofexpenses that may arise during the time of transfer and also telephonebills; while 60% will be for me. Please;you have been adviced to keep topsecret as i am still in service and intend to retire from service after weconclude this deal with you.I will be monitoring the whole situation here in this bank until you confirmthe money in your account and ask me to come down to your country forsubsequent sharing of the fund according to percentages previously indicatedand further investment either in your country or any country you advice usto invest.All other necessary vital information will be sent to you when ihear from you.Yours faithfully Testez Windows Live Mail Beta !,7,7,7_foreign account_decided contact_invest necessary_foreign,"['foreign account', 'decided contact', 'invest necessary', 'foreign', 'inform 100', 'conclude deal', 'position country', 'great business', 'business', 'account']"
